Date,Entries,Exits,Day_of_Week,Year,Month,Weekday,Holiday,HolidayName,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,has_rain,precip,precipprob,has_snow,precipcover,snow,snowdepth,windspeed,cloudcover,visibility
2025-02-25,513640,510965,Tuesday,2025,2,1,0,,67.7,38.7,52.2,67.7,36.4,51.3,0,0.0,0,0,0.0,0.0,0.0,12.2,59.6,9.9
2025-02-24,431077,430097,Monday,2025,2,1,0,,56.9,36.2,45.3,56.9,33.3,43.6,0,0.0,0,0,0.0,0.0,0.0,12.7,70.3,9.9
2025-02-23,191879,192449,Sunday,2025,2,0,0,,53.6,28.6,40.9,53.6,23.6,37.6,0,0.0,0,0,0.0,0.0,0.0,12.5,36.3,9.9
2025-02-22,245046,245686,Saturday,2025,2,0,0,,42.9,23.8,33.7,38.8,17.9,28.3,0,0.0,0,0,0.0,0.0,0.0,15.3,44.1,9.9
2025-02-21,378902,378789,Friday,2025,2,1,0,,40.6,26.7,32.1,31.2,13.4,21.3,0,0.0,0,0,0.0,0.0,0.0,22.5,17.3,9.9
2025-02-20,432666,430918,Thursday,2025,2,1,0,,31.6,24.0,27.4,21.0,10.8,15.6,0,0.0,0,0,0.0,0.0,0.0,22.8,82.8,9.9
2025-02-19,452334,450845,Wednesday,2025,2,1,0,,26.0,20.8,23.2,20.4,7.0,14.0,0,0.0,0,0,0.0,0.0,0.0,18.5,84.0,9.5
2025-02-18,462020,460008,Tuesday,2025,2,1,0,,36.6,24.9,30.7,28.0,12.3,21.0,0,0.0,0,0,0.0,0.0,0.0,19.2,74.8,9.9
2025-02-17,234803,235096,Monday,2025,2,1,1,Washington’s Birthday (Presidents’ Day),42.9,33.0,37.4,35.1,22.5,28.2,0,0.0,0,0,0.0,0.0,0.0,27.4,33.3,9.9
2025-02-16,178427,178882,Sunday,2025,2,0,0,,64.9,38.9,46.7,64.9,28.7,43.2,1,0.297,100,0,41.67,0.0,0.0,26.2,76.2,6.4
2025-02-15,229835,229606,Saturday,2025,2,0,0,,41.0,35.3,37.7,39.1,29.4,33.3,1,0.439,100,0,41.67,0.0,0.0,13.8,96.2,8.7
2025-02-14,386899,386337,Friday,2025,2,1,0,,43.8,33.0,37.8,38.0,22.3,31.6,0,0.0,0,0,0.0,0.0,0.0,16.7,26.6,9.9
2025-02-13,463409,461727,Thursday,2025,2,1,0,,55.6,36.9,41.3,55.6,29.5,37.3,1,0.142,100,0,25.0,0.0,1.9,22.2,88.8,7.0
2025-02-12,236029,235072,Wednesday,2025,2,1,0,,37.0,31.8,34.5,34.5,23.3,28.5,1,0.172,100,1,62.5,0.0,5.0,10.4,100.0,4.2
2025-02-11,344208,343846,Tuesday,2025,2,1,0,,37.9,30.8,33.9,37.9,24.1,29.5,1,0.498,100,1,33.33,0.0,3.2,8.8,93.8,6.3
2025-02-10,401334,401056,Monday,2025,2,1,0,,46.8,35.4,39.8,42.0,29.3,34.1,0,0.0,0,0,0.0,0.0,0.0,14.9,60.4,9.9
2025-02-09,184565,184770,Sunday,2025,2,0,0,,47.7,34.9,40.6,41.2,28.3,34.8,0,0.0,0,0,0.0,0.0,0.0,20.7,84.0,9.1
2025-02-08,226852,227467,Saturday,2025,2,0,0,,37.8,33.0,35.7,37.4,26.2,31.3,1,0.049,100,1,4.17,0.0,0.0,9.8,93.7,9.1
2025-02-07,394926,394278,Friday,2025,2,1,0,,53.6,38.4,46.0,53.6,33.7,42.6,0,0.0,0,0,0.0,0.0,0.0,20.3,47.6,9.7
2025-02-06,394740,393366,Thursday,2025,2,1,0,,47.0,33.9,39.2,44.5,27.4,34.7,1,0.866,100,1,54.17,0.0,0.0,14.4,83.1,7.7
2025-02-05,466967,466211,Wednesday,2025,2,1,0,,40.8,34.9,38.3,40.8,28.3,33.9,1,0.005,100,1,4.17,0.0,0.0,13.0,95.3,9.9
2025-02-04,483214,482616,Tuesday,2025,2,1,0,,62.9,39.3,50.2,62.9,32.9,47.7,0,0.0,0,0,0.0,0.0,0.0,24.2,46.8,9.9
2025-02-03,378504,378052,Monday,2025,2,1,0,,52.3,33.0,42.3,52.3,31.0,40.7,0,0.0,0,0,0.0,0.0,0.0,9.2,68.5,9.9
2025-02-02,184614,184921,Sunday,2025,2,0,0,,39.6,26.6,33.7,35.0,17.9,28.1,0,0.0,0,0,0.0,0.0,0.0,9.6,65.2,9.9
2025-02-01,273455,273765,Saturday,2025,2,0,0,,52.8,32.9,46.1,52.8,23.9,41.1,1,0.053,100,0,8.33,0.0,0.0,22.5,52.6,8.9
2025-01-31,354551,352555,Friday,2025,1,1,0,,53.1,42.3,47.3,53.1,36.9,44.3,1,0.696,100,0,66.67,0.0,0.0,16.7,95.7,8.2
2025-01-30,449328,449417,Thursday,2025,1,1,0,,53.9,34.7,45.1,53.9,34.7,42.8,0,0.0,0,0,0.0,0.0,0.0,10.0,53.5,9.9
2025-01-29,466138,466454,Wednesday,2025,1,1,0,,61.9,38.8,49.7,61.9,31.3,46.8,0,0.0,0,0,0.0,0.0,0.0,22.8,13.2,9.9
2025-01-28,456535,457213,Tuesday,2025,1,1,0,,53.6,33.0,41.5,53.6,26.8,38.0,0,0.0,0,0,0.0,0.0,0.0,19.8,43.6,9.9
2025-01-27,365225,365541,Monday,2025,1,1,0,,50.9,26.7,37.5,50.9,23.1,34.2,0,0.0,0,0,0.0,0.0,0.0,11.3,27.8,9.9
2025-01-26,176114,176919,Sunday,2025,1,0,0,,49.8,32.4,38.6,47.9,26.6,35.7,0,0.0,0,0,0.0,0.0,0.0,7.6,60.1,9.9
2025-01-25,239308,240386,Saturday,2025,1,0,0,,40.9,22.2,31.4,35.6,18.2,26.4,0,0.0,0,0,0.0,0.0,0.0,14.2,35.9,9.9
2025-01-24,375600,376425,Friday,2025,1,1,0,,38.8,20.2,29.6,35.6,12.7,25.3,0,0.0,0,0,0.0,0.0,0.0,11.4,64.6,9.9
2025-01-23,421860,423187,Thursday,2025,1,1,0,,30.7,14.4,22.7,28.9,7.0,17.1,0,0.0,0,0,0.0,0.0,0.0,9.9,52.5,9.9
2025-01-22,412044,413052,Wednesday,2025,1,1,0,,24.1,14.9,19.4,21.7,0.6,10.9,0,0.0,0,0,0.0,0.0,0.0,14.8,61.8,9.9
2025-01-21,410233,411404,Tuesday,2025,1,1,0,,21.7,15.9,19.2,21.7,2.4,11.8,0,0.0,0,0,0.0,0.0,0.0,12.4,86.4,9.9
2025-01-20,263547,264012,Monday,2025,1,1,1,"Martin Luther King, Jr. Day",28.8,16.9,24.7,21.2,3.5,13.9,0,0.0,0,0,0.0,0.0,0.0,20.1,32.0,9.9
2025-01-19,236203,236338,Sunday,2025,1,0,0,,40.7,28.9,35.6,37.6,17.2,29.5,1,0.214,100,1,16.67,0.0,0.0,21.9,94.5,7.7
2025-01-18,284571,284902,Saturday,2025,1,0,0,,44.8,34.1,38.1,41.0,27.2,33.6,1,0.018,100,0,4.17,0.0,0.0,11.2,67.7,9.9
2025-01-17,348827,349340,Friday,2025,1,1,0,,45.3,30.6,37.1,43.1,24.6,32.4,0,0.0,0,0,0.0,0.0,0.0,12.6,51.1,9.9
2025-01-16,425811,426043,Thursday,2025,1,1,0,,36.9,20.2,28.6,33.1,12.9,22.5,1,0.011,100,1,4.17,0.0,0.0,13.3,69.7,9.6
2025-01-15,450780,451671,Wednesday,2025,1,1,0,,32.9,22.9,27.5,24.1,11.5,16.9,0,0.0,0,0,0.0,0.0,0.8,20.7,9.8,9.9
2025-01-14,462757,463422,Tuesday,2025,1,1,0,,37.4,28.8,32.9,35.6,15.6,24.3,0,0.0,0,0,0.0,0.0,1.2,25.0,29.6,9.9
2025-01-13,380061,380744,Monday,2025,1,1,0,,49.6,28.6,37.5,48.6,22.9,33.6,0,0.0,0,0,0.0,0.0,1.7,9.1,49.6,9.9
2025-01-12,170283,171230,Sunday,2025,1,0,0,,42.0,27.3,34.4,42.0,21.4,30.1,0,0.0,0,0,0.0,0.0,2.3,8.8,30.7,9.8
2025-01-11,204532,205692,Saturday,2025,1,0,0,,38.7,28.9,32.8,29.7,20.4,25.3,1,0.05,100,1,16.67,0.0,3.8,18.4,77.8,8.5
2025-01-10,344675,345279,Friday,2025,1,1,0,,34.8,24.9,30.0,33.6,11.8,22.3,0,0.0,0,0,0.0,0.0,3.1,16.9,63.1,9.9
2025-01-09,309046,309597,Thursday,2025,1,1,0,,33.8,22.9,28.1,23.4,10.9,16.6,0,0.0,0,0,0.0,0.0,3.6,28.4,11.6,9.9
2025-01-08,399855,401209,Wednesday,2025,1,1,0,,33.9,25.8,29.0,24.5,13.2,18.5,0,0.0,0,0,0.0,0.0,4.6,19.7,77.5,9.9
2025-01-07,204779,205272,Tuesday,2025,1,1,0,,35.1,22.0,28.9,27.8,9.3,17.3,0,0.0,0,0,0.0,0.0,6.0,25.2,46.2,9.9
2025-01-06,103707,103499,Monday,2025,1,1,0,,33.8,28.0,29.1,28.9,17.6,21.0,1,0.852,100,1,91.67,0.0,3.9,14.8,99.4,3.0
2025-01-05,149065,149866,Sunday,2025,1,0,0,,36.9,23.7,30.9,35.4,15.8,24.8,0,0.0,0,0,0.0,0.0,0.0,13.9,55.2,9.9
2025-01-04,193499,194311,Saturday,2025,1,0,0,,33.6,26.8,30.2,22.0,16.4,19.1,0,0.0,0,0,0.0,0.0,0.0,23.7,44.6,9.9
2025-01-03,284099,285367,Friday,2025,1,1,0,,44.8,30.7,35.8,37.9,18.8,29.2,1,0.035,100,0,12.5,0.0,0.0,18.1,71.9,9.5
2025-01-02,300546,301351,Thursday,2025,1,1,0,,44.6,37.5,39.7,38.2,29.3,32.9,0,0.0,0,0,0.0,0.0,0.0,18.1,65.2,9.9
2025-01-01,130412,130631,Wednesday,2025,1,1,1,New Year's Day,50.9,40.6,47.1,50.9,36.0,42.8,1,0.013,100,0,4.17,0.0,0.0,29.3,72.7,9.8
2024-12-31,284221,283063,Tuesday,2024,12,1,0,,62.7,39.2,49.3,62.7,37.1,48.4,1,0.421,100,0,12.5,0.0,0.0,21.9,64.6,9.5
2024-12-30,275402,276270,Monday,2024,12,1,0,,62.8,44.3,56.2,62.8,41.4,56.0,0,0.0,0,0,0.0,0.0,0.0,20.1,43.6,9.9
2024-12-29,168612,170386,Sunday,2024,12,0,0,,66.9,50.2,58.6,66.9,50.2,58.6,1,0.113,100,0,33.33,0.0,0.0,20.7,93.9,7.7
2024-12-28,174125,176119,Saturday,2024,12,0,0,,52.1,42.1,46.5,52.1,39.8,45.0,1,0.463,100,0,79.17,0.0,0.0,10.8,98.3,4.8
2024-12-27,239848,242267,Friday,2024,12,1,0,,48.7,35.6,41.4,48.7,31.8,39.8,0,0.0,0,0,0.0,0.0,0.0,6.4,93.6,9.4
2024-12-26,206840,208483,Thursday,2024,12,1,0,,40.8,32.9,37.2,40.8,28.6,34.5,0,0.0,0,0,0.0,0.0,0.0,7.5,96.2,9.2
2024-12-25,61690,61876,Wednesday,2024,12,1,1,Christmas Day,46.7,37.5,40.5,45.9,34.8,39.4,0,0.0,0,0,0.0,0.0,0.0,6.4,93.7,9.7
2024-12-24,150711,151746,Tuesday,2024,12,1,0,,39.8,29.6,35.2,39.6,21.6,31.5,1,0.016,100,1,8.33,0.0,0.0,9.1,93.0,9.8
2024-12-23,256436,258215,Monday,2024,12,1,0,,35.8,20.4,28.0,29.5,12.0,21.2,0,0.0,0,0,0.0,0.0,0.0,10.0,41.9,9.9
2024-12-22,170401,171244,Sunday,2024,12,0,0,,34.9,25.7,29.9,27.8,18.3,22.0,0,0.0,0,0,0.0,0.0,0.0,13.6,40.3,9.9
2024-12-21,204002,205983,Saturday,2024,12,0,0,,38.9,30.7,36.5,33.0,19.9,28.0,0,0.0,0,0,0.0,0.0,0.0,23.5,62.3,9.9
