Date,Entries,Exits,Year,Month,DayOfWeek,Weekday,Holiday,HolidayName
2024-12-31,284221,283063,2024,12,Tuesday,1,0,
2024-12-30,275402,276270,2024,12,Monday,1,0,
2024-12-29,168612,170386,2024,12,Sunday,0,0,
2024-12-28,174125,176119,2024,12,Saturday,0,0,
2024-12-27,239848,242267,2024,12,Friday,1,0,
2024-12-26,206840,208483,2024,12,Thursday,1,0,
2024-12-25,61690,61876,2024,12,Wednesday,1,1,Christmas Day
2024-12-24,150711,151746,2024,12,Tuesday,1,0,
2024-12-23,256436,258215,2024,12,Monday,1,0,
2024-12-22,170401,171244,2024,12,Sunday,0,0,
2024-12-21,204002,205983,2024,12,Saturday,0,0,
2024-12-20,330521,332730,2024,12,Friday,1,0,
2024-12-19,413530,414559,2024,12,Thursday,1,0,
2024-12-18,433100,434606,2024,12,Wednesday,1,0,
2024-12-17,457981,459855,2024,12,Tuesday,1,0,
2024-12-16,363614,365043,2024,12,Monday,1,0,
2024-12-15,195341,196516,2024,12,Sunday,0,0,
2024-12-14,329027,331724,2024,12,Saturday,0,0,
2024-12-13,411318,413076,2024,12,Friday,1,0,
2024-12-12,489415,491676,2024,12,Thursday,1,0,
2024-12-11,465734,465981,2024,12,Wednesday,1,0,
2024-12-10,484112,485291,2024,12,Tuesday,1,0,
2024-12-09,386020,387529,2024,12,Monday,1,0,
2024-12-08,224376,226128,2024,12,Sunday,0,0,
2024-12-07,293173,294898,2024,12,Saturday,0,0,
2024-12-06,371539,372822,2024,12,Friday,1,0,
2024-12-05,452261,453832,2024,12,Thursday,1,0,
2024-12-04,455181,456555,2024,12,Wednesday,1,0,
2024-12-03,458020,460825,2024,12,Tuesday,1,0,
2024-12-02,356826,358940,2024,12,Monday,1,0,
2024-12-01,182573,184108,2024,12,Sunday,0,0,
2024-11-30,205494,207398,2024,11,Saturday,0,0,
2024-11-29,240997,241555,2024,11,Friday,1,0,
2024-11-28,94258,93775,2024,11,Thursday,1,1,Thanksgiving Day
2024-11-27,306301,307247,2024,11,Wednesday,1,0,
2024-11-26,385639,386371,2024,11,Tuesday,1,0,
2024-11-25,359110,359923,2024,11,Monday,1,0,
2024-11-24,192193,192965,2024,11,Sunday,0,0,
2024-11-23,261927,263041,2024,11,Saturday,0,0,
2024-11-22,364155,365571,2024,11,Friday,1,0,
2024-11-21,459466,461310,2024,11,Thursday,1,0,
2024-11-20,467087,467952,2024,11,Wednesday,1,0,
2024-11-19,468098,469186,2024,11,Tuesday,1,0,
2024-11-18,385109,386121,2024,11,Monday,1,0,
2024-11-17,193291,194091,2024,11,Sunday,0,0,
2024-11-16,268446,269583,2024,11,Saturday,0,0,
2024-11-15,382808,383951,2024,11,Friday,1,0,
2024-11-14,448154,449250,2024,11,Thursday,1,0,
2024-11-13,479983,482135,2024,11,Wednesday,1,0,
2024-11-12,457605,459437,2024,11,Tuesday,1,0,
2024-11-11,269412,270280,2024,11,Monday,1,1,Veterans Day
2024-11-10,221211,222181,2024,11,Sunday,0,0,
2024-11-09,270380,271583,2024,11,Saturday,0,0,
2024-11-08,384767,386354,2024,11,Friday,1,0,
2024-11-07,429469,430765,2024,11,Thursday,1,0,
2024-11-06,408448,409385,2024,11,Wednesday,1,0,
2024-11-05,381359,382403,2024,11,Tuesday,1,0,
2024-11-04,376138,377139,2024,11,Monday,1,0,
2024-11-03,194590,195605,2024,11,Sunday,0,0,
2024-11-02,284963,286486,2024,11,Saturday,0,0,
2024-11-01,376747,378194,2024,11,Friday,1,0,
2024-10-31,445238,446762,2024,10,Thursday,1,0,
2024-10-30,483739,485119,2024,10,Wednesday,1,0,
2024-10-29,530842,533455,2024,10,Tuesday,1,0,
2024-10-28,396178,397251,2024,10,Monday,1,0,
2024-10-27,316042,317062,2024,10,Sunday,0,0,
2024-10-26,304734,305871,2024,10,Saturday,0,0,
2024-10-25,407726,408529,2024,10,Friday,1,0,
2024-10-24,478826,479912,2024,10,Thursday,1,0,
2024-10-23,492606,494362,2024,10,Wednesday,1,0,
2024-10-22,472159,473338,2024,10,Tuesday,1,0,
2024-10-21,397125,397976,2024,10,Monday,1,0,
2024-10-20,232998,233842,2024,10,Sunday,0,0,
2024-10-19,314357,315758,2024,10,Saturday,0,0,
2024-10-18,419435,420325,2024,10,Friday,1,0,
2024-10-17,476077,477615,2024,10,Thursday,1,0,
2024-10-16,487716,489433,2024,10,Wednesday,1,0,
2024-10-15,485498,487507,2024,10,Tuesday,1,0,
2024-10-14,277442,278069,2024,10,Monday,1,1,Columbus Day (Indigenous Peoples’ Day)
2024-10-13,257021,257840,2024,10,Sunday,0,0,
2024-10-12,317734,319106,2024,10,Saturday,0,0,
2024-10-11,390439,391698,2024,10,Friday,1,0,
2024-10-10,454923,457046,2024,10,Thursday,1,0,
2024-10-09,480364,481715,2024,10,Wednesday,1,0,
2024-10-08,472871,474381,2024,10,Tuesday,1,0,
2024-10-07,392679,394466,2024,10,Monday,1,0,
2024-10-06,212635,213749,2024,10,Sunday,0,0,
2024-10-05,289335,290565,2024,10,Saturday,0,0,
2024-10-04,388095,389289,2024,10,Friday,1,0,
2024-10-03,442591,443593,2024,10,Thursday,1,0,
2024-10-02,457373,458688,2024,10,Wednesday,1,0,
