"queryCost","latitude","longitude","resolvedAddress","address","timezone","tzoffset","days__datetime","days__tempmax","days__tempmin","days__temp","days__feelslikemax","days__feelslikemin","days__feelslike","days__precip","days__precipprob","days__precipcover","days__preciptype__001","days__preciptype__002","days__preciptype","days__snow","days__snowdepth","days__windgust","days__windspeed","days__cloudcover","days__visibility","days__uvindex"
"365","38.8904","-77.032","Washington, DC, United States","Washington DC","America/New_York","-5","2015-01-01","45.8","26.5","36.1","39.4","19.1","30.5","0","0","0","","","null","0","0","29.5","14.5","39.2","9.9","null"
"","","","","","","","2015-01-02","48.5","36.3","41","46.8","32.8","39.4","0","0","0","","","null","0","0","18.3","9","81.7","9.9","null"
"","","","","","","","2015-01-03","41.8","34.2","39","41.8","30.7","36.7","0.482","100","50","rain","","","0","0","null","6.7","94.8","6.1","null"
"","","","","","","","2015-01-04","65.8","41.9","53.1","65.8","36.1","50.9","0.207","100","41.67","rain","","","0","0","32.3","20.5","96.3","9","null"
"","","","","","","","2015-01-05","51.8","29.7","40","51.8","19.7","32.3","0","0","0","","","null","0","0","35.2","22.3","62.9","9.9","null"
"","","","","","","","2015-01-06","30.6","23.9","27.6","29.8","16.7","22.6","0.189","100","25","snow","","","0","0.1","18.3","9","79.7","7.5","null"
"","","","","","","","2015-01-07","29.1","15.8","23.9","20.7","0.1","11.7","0.001","100","4.17","snow","","","0","0.1","37.5","23.2","71.5","9.9","null"
"","","","","","","","2015-01-08","25.7","11.6","18.4","15.8","-2.7","6.3","0","0","0","","","null","0","0.1","27.7","21","34","9.9","null"
"","","","","","","","2015-01-09","40.7","25.7","32","34.8","12.2","23.4","0","0","0","","","null","0","0","34.1","22.3","51.8","9.9","null"
"","","","","","","","2015-01-10","29.6","18.8","24.5","27.8","6.6","16.5","0","0","0","","","null","0","0","25.3","14.7","0","9.9","null"
"","","","","","","","2015-01-11","42","20.8","31.1","37.5","14.5","27.2","0","0","0","","","null","0","0","null","9.1","80","9.9","null"
"","","","","","","","2015-01-12","42.6","35.6","38","39.7","29.7","35.1","0.752","100","79.17","rain","","","0","0","null","7.5","99.9","5.6","null"
"","","","","","","","2015-01-13","41.7","28.6","34.8","36.8","19.7","26.5","0","0","0","","","null","0","0","28.9","19.1","88.7","9.8","null"
"","","","","","","","2015-01-14","32.9","26.6","30.1","29.5","17","22.7","0","0","0","","","null","0","0","null","11","98.8","9.2","null"
"","","","","","","","2015-01-15","40.7","31.7","34.7","36.5","23.5","29.7","0","0","0","","","null","0","0","null","9.8","71.2","9.9","null"
"","","","","","","","2015-01-16","47.5","27.7","37.4","43.5","22.5","31.9","0","0","0","","","null","0","0","32","21.9","25","9.2","null"
"","","","","","","","2015-01-17","38.7","28.4","33.5","31.8","19.5","26.9","0","0","0","","","null","0","0","null","14.9","44.9","9.9","null"
"","","","","","","","2015-01-18","44.3","34.5","39.3","42.9","24.3","35.9","0.606","100","25","rain","","","0","0","19.7","17.7","81.4","6.9","null"
"","","","","","","","2015-01-19","48.5","33.4","42.2","46.5","28.4","38.9","0","0","0","","","null","0","0","24.2","12.8","69","9.9","null"
"","","","","","","","2015-01-20","48.6","30.2","38.5","47.8","27.2","37.3","0","0","0","","","null","0","0","null","6.8","73.6","9.9","null"
"","","","","","","","2015-01-21","37.7","33.7","35.6","35.9","28.7","31.9","0.078","100","16.67","rain","snow","","0","0","null","9","95.3","6.2","null"
"","","","","","","","2015-01-22","47.6","35.1","40.4","42.7","30.1","36","0","0","0","","","null","0","0","27.8","21.2","80.8","6.9","null"
"","","","","","","","2015-01-23","42","31.2","37","37.4","26.8","33.2","0.43","100","25","rain","","","0","0","null","9.2","83.2","8.5","null"
"","","","","","","","2015-01-24","43.7","36.7","39.4","37.7","30","33.3","0.707","100","29.17","rain","","","0","0","35.6","16.8","79.8","7.7","null"
"","","","","","","","2015-01-25","50.7","37.7","44.6","50.7","31.3","41.4","0","0","0","","","null","0","0","21.9","13.6","90.9","9.9","null"
"","","","","","","","2015-01-26","45.6","28.8","36.6","44.2","17.7","28.7","0.218","100","50","rain","snow","","0","0","17.2","15.5","99.9","7.1","null"
"","","","","","","","2015-01-27","35.7","29.6","32.2","26.3","17.2","21.9","0.008","100","12.5","rain","snow","","0","0","29.4","18.8","84","8.6","null"
"","","","","","","","2015-01-28","37.6","24.7","30.7","30.4","12","20.5","0","0","0","","","null","0","0","27.6","19.3","12.1","9.9","null"
"","","","","","","","2015-01-29","38.8","26","32.7","32.6","20.1","28","0.048","100","8.33","rain","snow","","0","0","null","12.4","67.3","9.8","null"
"","","","","","","","2015-01-30","42.6","23.9","36.9","40.7","11.1","28.4","0.105","100","45.83","rain","snow","","0","0","41.1","25.7","63.2","9.8","null"
"","","","","","","","2015-01-31","34.8","20.6","27.1","33.5","6.6","18.3","0.008","100","8.33","snow","","","0","0","31.2","18.6","8","9.9","null"
"","","","","","","","2015-02-01","42","26.2","35","40","21","31.9","0.025","100","4.17","rain","","","0","0","17.2","7.9","91.5","9.7","null"
"","","","","","","","2015-02-02","48.6","27.9","37.7","42.7","14.2","31.3","0.119","100","29.17","rain","","","0","0","44.1","28.3","77.6","8.5","null"
"","","","","","","","2015-02-03","37.7","24.7","29.8","32.3","12.7","21.4","0","0","0","","","null","0","0","28.7","15.9","32.4","9.9","null"
"","","","","","","","2015-02-04","53.2","28.6","40.3","53.2","21.2","35.6","0","0","0","","","null","0","0","17.2","14.4","81.1","9.9","null"
"","","","","","","","2015-02-05","43.6","21.6","33.6","39.9","8.9","23.7","0","0","0","","","null","0","0","38.6","27.2","57.8","9.9","null"
"","","","","","","","2015-02-06","37.6","17.2","27","32.2","6.4","19.9","0","0","0","","","null","0","0","21.9","16.7","43","9.9","null"
"","","","","","","","2015-02-07","49.8","27.3","37.3","47.7","22.1","34.8","0","0","0","","","null","0","0","null","9.2","78.6","9.9","null"
"","","","","","","","2015-02-08","66.9","34.7","45.8","66.9","31.7","44.3","0","0","0","","","null","0","0","null","10.7","82.4","9.9","null"
"","","","","","","","2015-02-09","43.8","34.7","38.8","41.2","26","32.3","0.066","100","12.5","rain","snow","","0","0","null","13.3","98.6","6","null"
"","","","","","","","2015-02-10","39.5","32.8","35.3","31.3","22.6","26","0.026","100","20.83","rain","snow","","0","0","26.4","19.8","79.1","9.3","null"
"","","","","","","","2015-02-11","45.8","29.4","36.1","45.8","20.2","30.4","0","0","0","","","null","0","0","36.9","13.4","37.2","9.9","null"
"","","","","","","","2015-02-12","41.8","22.7","34.9","34.3","6.4","26.9","0.043","100","20.83","rain","snow","","0","0","38.7","27.1","76.6","9.7","null"
"","","","","","","","2015-02-13","29.5","14.9","22","22.2","-2.7","10.2","0.006","100","12.5","snow","","","0","0","33","23.5","26.3","9.9","null"
"","","","","","","","2015-02-14","43.8","18.9","31","41.1","0.9","22.1","0.138","100","20.83","rain","snow","","0","0","47.5","26.2","89.7","9.4","null"
"","","","","","","","2015-02-15","21.5","10.7","15.8","7.1","-10.2","-1.8","0.635","100","58.33","snow","","","0","0","46.5","30.5","17.4","9.9","null"
"","","","","","","","2015-02-16","18.8","9.9","14.3","16.7","-7.2","4.1","0.257","100","37.5","snow","","","0.2","0","28.7","19.4","78.9","7.2","null"
"","","","","","","","2015-02-17","29.6","16.7","22.2","24","7.4","15.2","0.256","100","25","snow","","","0.1","0.1","null","12.6","75.7","7.6","null"
"","","","","","","","2015-02-18","33","12.8","24.2","25.5","8.8","17.6","0.002","100","8.33","rain","snow","","0.1","0.1","34.9","21.3","63.6","9.2","null"
"","","","","","","","2015-02-19","20.6","11.6","16.1","7.5","-3.5","0.9","0","0","0","","","null","0","0.1","37.2","23.6","39.1","9.9","null"
"","","","","","","","2015-02-20","20.6","5.8","13.4","20.5","-8.8","1.7","0","0","0","","","null","0","0.1","31.8","20.4","15.2","9.9","null"
"","","","","","","","2015-02-21","34.9","14.3","22.8","28.5","1.9","12.8","0.636","100","50","rain","snow","","0","0.1","17.2","16.8","75.9","6.1","null"
"","","","","","","","2015-02-22","48.6","34.8","39.8","46.9","27.8","37.6","0.156","100","25","rain","snow","","0","0.1","null","8.8","91.6","7.1","null"
"","","","","","","","2015-02-23","40.6","20.5","31.9","35.4","9.5","21.8","0","0","0","","","null","0","0.1","29.6","20.4","82.4","9.9","null"
"","","","","","","","2015-02-24","28.7","14.5","21.8","19.1","5.2","12.6","0","0","0","","","null","0","0","null","12.5","57.2","9.9","null"
"","","","","","","","2015-02-25","40.9","21.4","31.3","40.6","15.2","27.3","0","0","0","","","null","0","0.1","20.8","10.4","73.8","9.9","null"
"","","","","","","","2015-02-26","38.6","30.6","34.4","35.5","21","29.2","0.142","100","37.5","rain","snow","","0","0.1","null","15.7","96","7.8","null"
"","","","","","","","2015-02-27","33.9","25.8","31.9","32.7","15.3","24.7","0","0","0","","","null","0","0","24.2","16.9","61.9","9.8","null"
"","","","","","","","2015-02-28","31.8","19.5","25.6","29","9.9","19.7","0","0","0","","","null","0","0","19.7","10","47.5","9.9","null"
"","","","","","","","2015-03-01","33.8","24.5","29.7","30","19","24.4","0.507","100","45.83","rain","snow","","0","0","null","9.2","96.7","7.7","null"
"","","","","","","","2015-03-02","44.7","33.7","38.1","38.6","26.9","33","0.001","100","4.17","rain","","","0","0","33.3","20.8","59.8","6.7","null"
"","","","","","","","2015-03-03","38.8","30.2","33.5","31.6","23.8","26.6","0.042","100","16.67","rain","snow","","0","0","null","14.9","91.8","9.9","null"
"","","","","","","","2015-03-04","51","38.9","44.4","51","33.1","41.2","0.305","100","37.5","rain","","","0","0","25.3","14.1","98.8","5.6","null"
"","","","","","","","2015-03-05","44.7","25.7","33.7","41","13.8","24.9","0.868","100","95.83","rain","snow","","0.2","0.1","23","15.8","99.4","3.9","null"
"","","","","","","","2015-03-06","28.5","15.5","22.4","25.2","2.1","14.1","0.005","100","16.67","rain","snow","","0.1","0.2","19.7","14.5","12.2","9.9","null"
"","","","","","","","2015-03-07","47.7","18.8","32.4","42.2","12.4","26.5","0.012","100","20.83","rain","snow","","0","0.1","23","17.6","28.3","9.9","null"
"","","","","","","","2015-03-08","57.6","34.9","46.6","57.6","31.9","45.1","0","0","0","","","null","0","0","21.7","14.6","52.1","9.9","null"
"","","","","","","","2015-03-09","62","37.1","48","62","34.1","47.4","0","0","0","","","null","0","0","30","9.7","77","9.9","null"
"","","","","","","","2015-03-10","49.5","39.2","45","49.5","34.3","43.5","0.384","100","45.83","rain","","","0","0","null","8.9","92.8","7.1","null"
"","","","","","","","2015-03-11","65.6","46.2","54.4","65.6","43.8","53.8","0.04","100","12.5","rain","","","0","0","null","13.4","77.7","7.6","null"
"","","","","","","","2015-03-12","58.9","45.7","51.2","58.9","39.6","49.1","0.001","100","4.17","rain","","","0","0","22.9","14.8","49.8","9.9","null"
"","","","","","","","2015-03-13","54.6","37.2","46","54.6","33.9","45.1","0","0","0","","","null","0","0","null","10.2","80.9","9.9","null"
"","","","","","","","2015-03-14","57.6","44.6","50.1","57.6","40.4","48.2","0.599","100","58.33","rain","","","0","0","18.3","12.9","98.4","7.6","null"
"","","","","","","","2015-03-15","58.1","44.3","51.7","58.1","41.4","50.4","0.001","100","4.17","rain","","","0","0","39","24.8","48.3","9.9","null"
"","","","","","","","2015-03-16","67.4","38","50.4","67.4","34.3","49.3","0","0","0","","","null","0","0","null","8.1","78.6","9.9","null"
"","","","","","","","2015-03-17","70.7","44.8","55.6","70.7","37.6","53.7","0","0","0","","","null","0","0","37.8","27.3","72","9.9","null"
"","","","","","","","2015-03-18","51.7","35.7","43.3","51.7","28.7","38.2","0","0","0","","","null","0","0","39.1","22.2","51.3","9.9","null"
"","","","","","","","2015-03-19","51.8","39.1","45.2","51.8","37.3","43.7","0","0","0","","","null","0","0","null","8.8","85","9.9","null"
"","","","","","","","2015-03-20","45.5","35.6","39","43.1","29.1","33.9","0.488","100","58.33","rain","","","0","0","null","14.4","99.4","6.5","null"
"","","","","","","","2015-03-21","60.2","34.6","46.6","60.2","30.6","44.2","0","0","0","","","null","0","0","21.9","11.6","70","8.9","null"
"","","","","","","","2015-03-22","55.7","44.7","50.1","55.7","39.6","47.6","0","0","0","","","null","0","0","29.9","17","76","9.9","null"
"","","","","","","","2015-03-23","49.8","35.7","42.6","48.3","27.5","37.9","0","0","0","","","null","0","0","18.3","14.4","67.2","9.9","null"
"","","","","","","","2015-03-24","46.6","38.2","42.3","45.7","33.5","38.8","0","0","0","","","null","0","0","null","8.8","87.1","9.9","null"
"","","","","","","","2015-03-25","53.7","34.3","43.5","53.7","33.1","42.2","0.001","100","4.17","rain","","","0","0","null","9.8","86.4","9.9","null"
"","","","","","","","2015-03-26","75.6","49.6","59.2","75.6","46.1","58.5","0.305","100","29.17","rain","","","0","0","31.1","17.1","88.9","9.3","null"
"","","","","","","","2015-03-27","53.8","43.6","47.9","53.8","37.5","44","0.452","100","58.33","rain","","","0","0","23.7","16.9","95.8","9.6","null"
"","","","","","","","2015-03-28","43.8","31.7","35.9","36.3","20.5","26.2","0","0","0","","","null","0","0","32","22","68.4","9.9","null"
"","","","","","","","2015-03-29","48.4","27.7","37.1","46.6","17.2","30.1","0","0","0","","","null","0","0","23","15.9","18.6","9.9","null"
"","","","","","","","2015-03-30","64.6","42","52.5","64.6","33.4","49.8","0.022","100","8.33","rain","","","0","0","30.8","19","75.4","9.7","null"
"","","","","","","","2015-03-31","72.7","44","56.2","72.7","40.7","55.2","0.02","100","20.83","rain","","","0","0","41.5","23.6","58.8","9.9","null"
"","","","","","","","2015-04-01","60.7","40.3","49.7","60.7","33.7","46.8","0","0","0","","","null","0","0","32.5","22.8","19.7","9.9","null"
"","","","","","","","2015-04-02","72.8","41.5","58.2","72.8","37","56.5","0","0","0","","","null","0","0","34.2","24.3","50.6","9.9","null"
"","","","","","","","2015-04-03","72.9","62.1","66.7","72.9","62.1","66.7","0.192","100","37.5","rain","","","0","0","30","21.3","89.4","9.1","null"
"","","","","","","","2015-04-04","68.7","51.5","58.5","68.7","51.5","58.5","0.064","100","25","rain","","","0","0","44.4","27.9","54.6","9.9","null"
"","","","","","","","2015-04-05","68.8","42.3","54.9","68.8","38.1","53.9","0","0","0","","","null","0","0","29.1","17.9","45.4","9.9","null"
"","","","","","","","2015-04-06","76.8","47.3","62.6","76.8","44.7","62.3","0","0","0","","","null","0","0","27.5","20","59.3","9.9","null"
"","","","","","","","2015-04-07","70.9","59","65.7","70.9","59","65.7","0.027","100","16.67","rain","","","0","0","17.2","14.9","94.3","9.9","null"
"","","","","","","","2015-04-08","64.5","45.8","49.6","64.5","41","45.9","0.254","100","25","rain","","","0","0","20.8","16.5","99.9","8.5","null"
"","","","","","","","2015-04-09","49.6","44.6","46.6","46.4","39.1","42.7","0.04","100","12.5","rain","","","0","0","null","12.3","100","7.4","null"
"","","","","","","","2015-04-10","65.6","44.7","53.4","65.6","40.8","51.8","0.023","100","12.5","rain","","","0","0","19.7","13.3","98","7.4","null"
"","","","","","","","2015-04-11","67.6","52.6","61.4","67.6","52.6","61.4","0.001","100","4.17","rain","","","0","0","33","22.7","47.8","9.9","null"
"","","","","","","","2015-04-12","69.9","44.2","58","69.9","41","57.8","0","0","0","","","null","0","0","null","10.2","38.9","9.9","null"
"","","","","","","","2015-04-13","78.9","51.2","64.7","78.9","51.2","64.7","0","0","0","","","null","0","0","27.9","19.9","65.9","9.9","null"
"","","","","","","","2015-04-14","65.7","54.6","61","65.7","54.6","61","0.67","100","66.67","rain","","","0","0","24.2","17.6","93.7","7.6","null"
"","","","","","","","2015-04-15","67.6","52.3","59.9","67.6","52.3","59.9","0.007","100","8.33","rain","","","0","0","null","12.5","90.5","9.9","null"
"","","","","","","","2015-04-16","73.6","53.2","62.6","73.6","53.2","62.6","0","0","0","","","null","0","0","24.2","14.8","80.6","9.9","null"
"","","","","","","","2015-04-17","78","58.6","67.3","78","58.6","67.3","0.074","100","20.83","rain","","","0","0","null","11.5","83.8","9.9","null"
"","","","","","","","2015-04-18","82.6","60.6","71","80.6","60.6","70.8","0","0","0","","","null","0","0","null","7.2","59","9.9","null"
"","","","","","","","2015-04-19","69.2","55","63.3","69.2","55","63.3","0.247","100","25","rain","","","0","0","26.7","18","89.3","9.2","null"
"","","","","","","","2015-04-20","79","55.9","68.7","79","55.9","68.7","0.908","100","41.67","rain","","","0","0","40.3","20.4","92.9","8.4","null"
"","","","","","","","2015-04-21","69.7","56.9","63.6","69.7","56.9","63.6","0.166","100","16.67","rain","","","0","0","36.9","24.9","58.5","9.9","null"
"","","","","","","","2015-04-22","72.8","50.3","59.1","72.8","50.3","59.1","0.003","100","8.33","rain","","","0","0","36.8","23.6","51.3","9.9","null"
"","","","","","","","2015-04-23","58.7","44.6","52.5","58.7","41","51.1","0","0","0","","","null","0","0","31.1","18","72.2","9.9","null"
"","","","","","","","2015-04-24","61.8","39.8","51.1","61.8","31.7","47.8","0","0","0","","","null","0","0","31.7","18.5","43.7","9.9","null"
"","","","","","","","2015-04-25","52.8","44.7","48.8","52.8","39.2","46.8","0.225","100","25","rain","","","0","0","null","11","90.8","9.6","null"
"","","","","","","","2015-04-26","66.4","44.6","54.7","66.4","40.9","53.5","0.047","100","8.33","rain","","","0","0","null","10","73.7","9.8","null"
"","","","","","","","2015-04-27","61.6","47.8","54.9","61.6","44","54.3","0","0","0","","","null","0","0","26.2","19","73.9","9.9","null"
"","","","","","","","2015-04-28","71.6","48.4","59.8","71.6","42.9","58.6","0","0","0","","","null","0","0","25.8","19.2","47","9.9","null"
"","","","","","","","2015-04-29","75.6","53.2","65","75.6","53.2","65","0","0","0","","","null","0","0","null","9.8","44.7","9.8","null"
"","","","","","","","2015-04-30","73.5","55.6","63.3","73.5","55.6","63.3","0.357","100","16.67","rain","","","0","0","31.4","14.8","86.9","9.8","null"
"","","","","","","","2015-05-01","62.5","53.9","58.4","62.5","53.9","58.4","0.239","100","25","rain","","","0","0","19.7","14.2","96.1","9.7","null"
"","","","","","","","2015-05-02","75.4","50.5","62.8","75.4","50.5","62.8","0","0","0","","","null","0","0","18.3","8.5","71.3","9.9","null"
"","","","","","","","2015-05-03","83.4","56.1","68.6","81","56.1","68.4","0","0","0","","","null","0","0","17.2","9.8","49.7","9.9","null"
