"queryCost","latitude","longitude","resolvedAddress","address","timezone","tzoffset","days__datetime","days__tempmax","days__tempmin","days__temp","days__feelslikemax","days__feelslikemin","days__feelslike","days__precip","days__precipprob","days__precipcover","days__preciptype","days__preciptype__001","days__preciptype__002","days__snow","days__snowdepth","days__windgust","days__windspeed","days__cloudcover","days__visibility","days__uvindex"
"365","38.8904","-77.032","Washington, DC, United States","Washington DC","America/New_York","-5","2022-01-01","63.5","54.1","58.3","63.5","54.1","58.3","0.448","100","33.33","","rain","","0","0","null","11.4","99.5","6.2","0"
"","","","","","","","2022-01-02","62.7","47.8","57.5","62.7","42","57","0.124","100","29.17","","rain","","0","0","36.6","18.9","91.6","9.6","1"
"","","","","","","","2022-01-03","46","26.1","32.7","39.4","14.3","23","0.889","100","62.5","","rain","snow","2.8","1","34.9","22.5","77.2","6.2","0"
"","","","","","","","2022-01-04","34","25.3","29.4","33.7","16","24","0","0","0","","snow","","1.4","3.5","19.7","14.1","18.7","9.9","6"
"","","","","","","","2022-01-05","40.8","28.1","35.8","37.2","19.8","29.5","0","0","0","null","","","0","2.4","null","13.6","82.6","9.9","1"
"","","","","","","","2022-01-06","42.9","36.9","39.8","40.6","29.5","35.3","0","0","0","","rain","","0.2","1.7","19.7","12.9","88.1","9.9","4"
"","","","","","","","2022-01-07","35.8","24.9","29.8","26.4","16.7","20","0.118","100","20.83","","rain","snow","0.3","2","32.2","21.3","58.4","8.4","5"
"","","","","","","","2022-01-08","33.1","22.8","27.5","29.9","13","20.3","0","0","0","null","","","0","1.2","null","13.3","20.5","9.9","5"
"","","","","","","","2022-01-09","46.6","30.4","37.8","43.1","21.2","30.8","0.543","100","45.83","","rain","","0","0.6","31.1","15.4","90","8.4","1"
"","","","","","","","2022-01-10","44","28.9","34.8","36.2","17.1","25.5","0.005","100","4.17","","rain","snow","0","0.1","34.9","21","58.5","9.9","5"
"","","","","","","","2022-01-11","28.8","22.9","25.8","22.4","9.2","16.6","0","0","0","null","","","0","0","28.4","19.7","42.6","9.9","5"
"","","","","","","","2022-01-12","46.9","22.8","34.5","41.7","13","27.4","0","0","0","null","","","0","0","25.3","15.7","53.8","9.9","5"
"","","","","","","","2022-01-13","50.7","31.5","39.7","50.7","31.5","38.3","0","0","0","null","","","0","0","null","6.5","86.6","9.9","2"
"","","","","","","","2022-01-14","48.6","35.6","41.8","41.5","25.8","34.8","0","0","0","null","","","0","0","34.3","21.6","81.5","9.9","3"
"","","","","","","","2022-01-15","33.8","20.5","25.8","23.1","9.2","14.8","0","0","0","null","","","0","0","26.4","19.1","61.7","9.9","2"
"","","","","","","","2022-01-16","37.2","16.7","23.8","26.5","5","13","0.82","100","37.5","","rain","snow","0.3","0.1","34","21.6","86","7.2","1"
"","","","","","","","2022-01-17","39.7","34.9","36.9","34.9","23.1","27.4","0.038","100","8.33","","rain","snow","0.3","0.4","43.3","27","87.8","9.7","2"
"","","","","","","","2022-01-18","40.8","30.3","36","36.2","23.8","29.2","0","0","0","null","","","0","0.1","31.9","17.4","67.6","9.9","3"
"","","","","","","","2022-01-19","53.9","29.5","42","53.9","21.9","37.6","0","0","0","null","","","0","0","29.8","16.8","69.8","9.9","4"
"","","","","","","","2022-01-20","46.1","28","37.8","43.1","17.5","31.4","0.305","100","33.33","","rain","","0","0","19.7","16.6","89.5","9.2","1"
"","","","","","","","2022-01-21","26.8","18.9","23.5","16.6","4.6","11.7","0","0","0","null","","","0","0","29","18.7","85.5","9.9","4"
"","","","","","","","2022-01-22","33.9","16.8","25.2","30.1","4.3","17.5","0","0","0","null","","","0","0","null","12.2","46.5","9.9","6"
"","","","","","","","2022-01-23","38.9","24.5","31.8","35.5","18.6","27.3","0","0","0","null","","","0","0","null","10.2","86.2","9.9","2"
"","","","","","","","2022-01-24","40.8","30.3","36.5","37.1","23.2","30.8","0","0","0","null","","","0","0","null","13.4","70.7","9.9","4"
"","","","","","","","2022-01-25","48.8","30.7","38.1","43.8","19.3","32.7","0","0","0","null","","","0","0","30.8","21.1","87","9.9","4"
"","","","","","","","2022-01-26","33.9","23.6","28.3","28.9","14.8","19.2","0","0","0","null","","","0","0","20.8","17.8","29","9.9","6"
"","","","","","","","2022-01-27","35.8","20.2","28.1","30.7","13","22.8","0","0","0","null","","","0","0","null","11.2","42.8","9.9","6"
"","","","","","","","2022-01-28","40.7","31.6","34.4","36","22.6","30","0.122","100","33.33","","rain","snow","0.1","0.1","null","15.6","97.2","6.9","2"
"","","","","","","","2022-01-29","32.9","21.7","25.7","23.4","7.7","12.1","0.003","100","12.5","","rain","snow","0.2","0.3","38.7","25.6","58","9.1","4"
"","","","","","","","2022-01-30","30.6","18.5","25.2","30.6","7","18","0","0","0","null","","","0","0.1","30.2","18.1","58.5","9.9","4"
"","","","","","","","2022-01-31","38.6","24.6","30.2","32.7","15.5","23.6","0","0","0","","snow","","0.1","0.1","null","9.9","65.5","9.9","4"
"","","","","","","","2022-02-01","42","24.6","32.8","42","16.8","28.6","0","0","0","","rain","snow","0","0.1","null","9","26","9.9","5"
"","","","","","","","2022-02-02","47.9","29.1","37.5","44.7","23.8","34.8","0","0","0","null","","","0","0","null","7.9","73.4","8","5"
"","","","","","","","2022-02-03","57.1","39.9","46.8","57.1","35.8","45.7","0.438","100","70.83","","rain","","0","0","30","16.2","99.1","5.9","0"
"","","","","","","","2022-02-04","59.1","35","46.6","59.1","25.4","42.1","1.038","100","70.83","","rain","","0","0","28.9","19.3","99.9","7","0"
"","","","","","","","2022-02-05","34.9","26.6","31.2","24.7","17.2","20.8","0","0","0","null","","","0","0","36.2","23.7","45.2","9.9","6"
"","","","","","","","2022-02-06","38.5","23.6","30.2","38.5","16.6","25.4","0","0","0","null","","","0","0","null","10.4","31.6","9.9","6"
"","","","","","","","2022-02-07","43.8","32.7","37.5","42.4","27.4","33.9","0.074","100","29.17","","rain","","0","0","null","8.8","99.1","8.8","2"
"","","","","","","","2022-02-08","48.7","31.7","39.5","46.4","24.7","35.6","0","0","0","null","","","0","0","18.3","12.6","36.6","9.9","6"
"","","","","","","","2022-02-09","54","29.2","41.1","54","23.4","38.6","0","0","0","null","","","0","0","null","11.4","16.9","9.9","6"
"","","","","","","","2022-02-10","60.9","36.7","47.9","60.9","30.2","45.7","0","0","0","null","","","0","0","33.7","18.4","42.6","9.9","5"
"","","","","","","","2022-02-11","66.7","33.8","49.2","66.7","30.7","48.4","0","0","0","null","","","0","0","30.2","19","32","9.9","6"
"","","","","","","","2022-02-12","60.9","47.9","53.8","60.9","43.4","52.9","0","0","0","null","","","0","0","21.9","15.4","73.7","9.9","3"
"","","","","","","","2022-02-13","45","28.5","34.7","37.6","19.7","26.9","0.058","100","29.17","","rain","snow","0","0","20.8","17.6","84.5","8","1"
"","","","","","","","2022-02-14","31.7","25.5","28.6","25.7","13.8","19.5","0","0","0","null","","","0","0","26.4","17.8","60.4","9.9","7"
"","","","","","","","2022-02-15","38.1","21.5","30.2","32.4","11.5","24.3","0","0","0","null","","","0","0","null","10.1","32.1","9.9","7"
"","","","","","","","2022-02-16","53.9","28.4","40.4","53.9","22.1","36","0","0","0","null","","","0","0","21.9","11.6","80.2","9.9","4"
"","","","","","","","2022-02-17","69.9","47.3","57.4","69.9","42.3","56.2","0","0","0","null","","","0","0","33.9","21.1","86.6","9.9","3"
"","","","","","","","2022-02-18","66.8","32.9","48.6","66.8","25.7","43.6","0.015","100","16.67","","rain","","0","0","48.9","32.4","62.5","9.9","5"
"","","","","","","","2022-02-19","49.8","26.4","35.1","43.8","14.4","27.2","0","0","0","null","","","0","0","48.3","29.2","25.6","9.9","7"
"","","","","","","","2022-02-20","42.2","22.2","32.2","35.8","13.3","25","0","0","0","null","","","0","0","24.2","14.4","9","9.9","7"
"","","","","","","","2022-02-21","65","31.7","47.1","65","26.9","44.5","0","0","0","null","","","0","0","null","12.6","35","9.9","7"
