days__datetime,days_day_of_week,days__tempmax,days__tempmin,days__temp,days__feelslikemax,days__feelslikemin,days__feelslike,days_has_rain,days__precip,days__precipprob,days_has_snow,days__precipcover,days__snow,days__snowdepth,days__windspeed,days__cloudcover,days__visibility
2024-01-01,Monday,43.0,38.9,40.8,41.8,31.4,36.4,0,0.0,0,0,0.0,,,13.6,90.3,9.9
2024-01-02,Tuesday,45.9,35.7,40.4,40.9,27.2,33.8,0,0.0,0,0,0.0,,,18.1,47.5,9.9
2024-01-03,Wednesday,47.8,33.7,39.9,44.6,27.8,36.4,0,0.0,0,0,0.0,,,8.8,68.7,9.9
2024-01-04,Thursday,46.7,33.2,40.4,41.9,24.1,34.6,0,0.0,0,0,0.0,,,21.8,68.5,9.9
2024-01-05,Friday,39.9,27.8,33.6,35.8,19.4,28.0,0,0.0,0,0,0.0,,,13.2,44.5,9.9
2024-01-06,Saturday,39.8,33.4,36.8,33.6,27.0,30.6,1,0.918,100,0,41.67,,,17.0,97.0,7.7
2024-01-07,Sunday,51.9,34.0,41.3,51.9,28.8,36.0,0,0.0,0,0,0.0,,,19.4,70.5,9.2
2024-01-08,Monday,47.8,37.4,42.0,47.8,32.9,38.1,0,0.0,0,0,0.0,,,14.6,62.2,9.9
2024-01-09,Tuesday,57.2,38.4,47.5,57.2,31.6,44.1,1,2.278,100,0,58.33,,,31.4,97.7,7.4
2024-01-10,Wednesday,56.2,40.4,49.3,56.2,36.4,46.5,1,0.005,100,0,16.67,,,20.9,70.8,9.9
2024-01-11,Thursday,52.1,32.9,42.5,52.1,26.9,39.2,0,0.0,0,0,0.0,,,11.2,20.4,9.9
2024-01-12,Friday,52.3,33.9,43.9,52.3,29.9,40.9,1,0.335,100,0,20.83,,,17.6,56.9,9.4
2024-01-13,Saturday,54.2,36.0,47.4,54.2,28.7,43.7,1,0.046,100,0,20.83,,,26.9,60.1,9.6
2024-01-14,Sunday,45.0,30.9,35.6,37.9,21.2,27.3,0,0.0,0,0,0.0,,,23.8,35.7,9.9
2024-01-15,Monday,30.8,26.0,28.5,29.0,19.7,23.5,1,0.275,100,1,54.17,,2.1,15.5,98.0,4.3
2024-01-16,Tuesday,30.8,20.0,28.2,23.9,7.0,18.0,1,0.058,100,1,33.33,,2.9,24.0,83.7,7.8
2024-01-17,Wednesday,29.1,15.8,23.0,21.8,6.1,13.9,0,0.0,0,0,0.0,,2.0,13.7,7.8,9.9
2024-01-18,Thursday,35.9,23.4,29.9,35.6,16.0,26.1,0,0.0,0,0,0.0,,1.8,7.6,77.0,9.9
2024-01-19,Friday,33.2,29.7,31.5,33.2,20.2,24.2,1,0.219,100,1,62.5,,3.8,12.7,92.0,5.0
2024-01-20,Saturday,28.9,20.8,24.3,19.8,7.7,12.9,0,0.001,100,1,4.17,,4.2,19.9,59.5,9.9
2024-01-21,Sunday,33.1,20.8,27.1,25.7,9.4,16.8,0,0.0,0,0,0.0,,2.9,18.6,19.7,9.9
2024-01-22,Monday,38.4,21.0,29.5,38.4,15.1,24.8,0,0.0,0,0,0.0,,3.4,9.8,36.0,9.9
2024-01-23,Tuesday,45.0,29.3,36.3,45.0,26.5,34.6,0,0.0,0,0,0.0,,2.3,8.3,81.8,9.9
2024-01-24,Wednesday,51.5,38.0,44.0,51.5,33.8,42.8,0,0.0,0,0,0.0,,0.6,5.5,96.6,9.4
2024-01-25,Thursday,65.3,46.4,55.2,65.3,44.5,55.0,1,0.104,100,0,37.5,,,6.9,99.8,5.7
2024-01-26,Friday,78.9,57.4,65.9,78.9,57.4,65.9,1,0.047,100,0,4.17,,,13.4,85.9,7.7
2024-01-27,Saturday,60.8,45.3,52.4,60.8,43.3,51.9,1,0.082,100,0,8.33,,,12.3,70.3,9.7
2024-01-28,Sunday,46.0,42.1,44.4,42.9,34.4,39.1,1,1.274,100,0,58.33,,,15.7,99.8,6.6
2024-01-29,Monday,47.7,41.9,43.8,40.7,34.4,36.7,0,0.0,0,0,0.0,,,23.2,91.5,9.9
2024-01-30,Tuesday,43.8,38.9,41.1,39.7,33.4,36.5,0,0.0,0,0,0.0,,,11.1,100.0,9.9
2024-01-31,Wednesday,44.0,38.1,40.9,44.0,32.8,38.5,0,0.0,0,0,0.0,,,8.8,89.0,9.9
2024-02-01,Thursday,53.0,31.7,42.4,53.0,26.4,39.3,0,0.0,0,0,0.0,,,12.0,43.3,8.4
2024-02-02,Friday,51.8,44.0,47.1,51.8,36.6,44.4,1,0.012,100,0,8.33,,,19.1,97.3,9.8
2024-02-03,Saturday,51.0,35.8,42.2,51.0,28.0,37.6,0,0.0,0,0,0.0,,,14.7,11.0,9.9
2024-02-04,Sunday,51.2,32.7,41.7,51.2,27.4,40.7,0,0.0,0,0,0.0,,,9.2,9.0,9.9
2024-02-05,Monday,51.8,32.5,41.0,51.8,26.0,37.8,0,0.0,0,0,0.0,,,12.2,21.4,9.9
2024-02-06,Tuesday,45.9,33.5,38.8,40.5,25.8,33.0,0,0.0,0,0,0.0,,,13.6,9.3,9.9
2024-02-07,Wednesday,51.1,30.4,39.9,51.1,24.8,37.2,0,0.0,0,0,0.0,,,6.5,37.5,9.9
